GEOID,county_name,state,state_name,MRR2010,TractsHTC ,TotPopinHTCTracts,TotPopinHHsHTCTracts,TotPopACS18,TotUnder5,WhiteAloneOrCombo,BlackAloneOrCombo,AmerIndAloneorCombo,AsianAloneOrCombo,NatHawAloneOrCombo,Hispanic,TotPopBornOutUS,FB2010Plus,FB2000Plus,FBNotCit2010Plus,FBNotCit2000Plus,TotPopBornOutUS_IncNative,FB2010Plus_IncNative,FB2000Plus_IncNative,HH_SingleParent,TotHH,Owner_TOTAL,Renter_TOTAL,HHer15to34,HHer35to54,HHer55to64,HHer65plus,TotPopinHHs,HH_Crowded,HH_Owner_Crowded,HH_Renter_Crowded,Units_TOTAL,Units_2Plus,Units_10Plus,Moved2015later,Move10to14,Moved00to09,Moved90to99,Moved1989earlier,GroupQuarterACS18,NoInternet,Internet_NoSub,Internet,DialUpOnly,Broadband_Any,Cellular,CellularOnly,Broadband_CableFiberOpticDSL,Broadband_CableFiberOpticDSLOnly,Satellite,SatelliteOnly,OtherOnly,LEPHHs,LEPspanHHs,LEPindoeurHHs,LEPapacHHs,LEPotherHHs,Poverty_TOTAL,Poverty_Less100,Poverty_Less150,Poverty_Less200
01027,Clay County,01, Alabama,0.812100457,0,0,0,13378,670,11198,2038,187,18,0,415,261,0,213,0,166,261,0,213,566,5236,3789,1447,774,1749,1146,1567,13128,48,10,38,6802,576,28,645,1200,1421,990,980,250,1509,141,3586,16,3570,2822,871,2186,570,544,92,17,25,25,0,0,0,13040,2405,4003,5793
01029,Cleburne County,01, Alabama,0.786809197,0,0,0,14938,821,14359,619,101,24,0,362,225,8,142,8,142,324,44,195,348,5726,4332,1394,942,1993,1054,1737,14769,49,46,3,6806,318,26,800,1212,1757,853,1104,169,1946,264,3516,57,3459,2493,1090,1898,726,499,169,2,19,19,0,0,0,14659,2719,4137,6156
01031,Coffee County,01, Alabama,0.768838493,2,3984,3984,51288,3178,40295,9512,1376,1077,71,3549,1840,414,812,410,726,3199,625,1283,2352,19789,12822,6967,3593,7378,3638,5180,50687,272,111,161,23088,2667,215,4417,4852,5298,2393,2829,601,3781,488,15520,173,15347,11429,2858,11816,3550,1057,230,17,292,280,0,12,0,50502,7604,11866,17065
01033,Colbert County,01, Alabama,0.796045144,1,3396,3378,54495,3098,44439,9281,798,458,34,1349,905,285,450,268,370,1191,421,616,2175,21799,15849,5950,3370,7485,4295,6649,54059,83,64,19,26466,3330,587,2847,5640,5650,3186,4476,436,5641,1142,15016,148,14868,10827,3482,10167,3485,1555,325,9,68,40,18,10,0,53991,8785,14163,19849
01035,Conecuh County,01, Alabama,0.704492723,3,8928,8928,12514,715,6465,5993,61,91,0,105,89,13,23,13,23,126,13,56,654,4574,3504,1070,408,1522,1034,1610,12469,50,37,13,7143,659,37,381,728,1359,937,1169,45,2245,142,2187,28,2159,1443,671,1058,469,504,150,0,4,4,0,0,0,12381,2752,4918,7228
01037,Coosa County,01, Alabama,0.671864558,3,10855,10465,10855,342,7133,3713,9,0,0,50,51,48,48,48,48,128,48,54,325,4103,3364,739,319,1196,1095,1493,10465,37,14,23,6558,185,16,377,639,1213,984,890,390,1317,125,2661,21,2640,2027,697,1532,489,438,89,12,7,7,0,0,0,10452,1459,3251,4275
01039,Covington County,01, Alabama,0.774714543,2,7096,7003,37351,2142,32207,4997,434,231,13,604,278,21,129,21,90,434,25,135,1623,15008,11110,3898,2329,4663,3218,4798,36685,320,170,150,18907,1277,249,2135,3459,4193,2295,2926,666,4222,369,10417,118,10299,7581,3246,6418,2321,740,235,14,40,7,0,33,0,36586,6702,10586,14659
01041,Crenshaw County,01, Alabama,0.777907248,2,4562,4546,13865,787,10187,3451,173,199,0,275,270,53,190,53,163,303,53,190,601,5025,3709,1316,584,1735,1091,1615,13703,47,39,8,6790,475,29,536,1157,1435,808,1089,162,1804,212,3009,12,2997,2157,753,2041,703,418,88,0,59,27,0,32,0,13661,2148,4104,5976
01043,Cullman County,01, Alabama,0.810570825,0,0,0,82313,4979,79737,1372,1075,609,19,3543,1985,202,1024,157,711,2276,202,1041,2556,30730,22919,7811,5068,10585,5951,9126,81113,555,377,178,37652,3176,959,4071,7998,8637,4731,5293,1200,7795,1176,21759,271,21488,16445,5379,14224,4215,2542,388,48,154,93,0,61,0,81016,12831,21539,32859
01045,Dale County,01, Alabama,0.708391569,9,32207,32102,49255,3231,37195,10650,894,1200,60,3070,1637,571,889,552,748,3101,842,1345,1900,18670,11239,7431,3732,6159,3738,5041,47992,313,131,182,23065,2923,277,3885,4832,4604,2227,3122,1263,3946,964,13760,150,13610,9413,2776,10018,3568,1269,308,0,205,149,0,56,0,47854,8798,14004,19872
01047,Dallas County,01, Alabama,0.741528662,8,22017,21509,40029,2477,11453,28332,185,249,50,412,528,111,288,99,259,608,115,300,3044,16336,9767,6569,2538,5313,3746,4739,39433,507,164,343,20336,3874,299,2009,3776,4593,2552,3406,596,5390,467,10479,128,10351,7520,2259,6817,2379,1334,310,10,5,0,5,0,0,39394,12247,17351,22264
01049,DeKalb County,01, Alabama,0.778403369,1,3958,3958,71200,4251,62602,1428,1837,359,633,10220,5325,705,2740,593,2279,5669,756,2799,3055,26132,18604,7528,4020,9581,5062,7469,70240,745,383,362,31462,2197,333,3923,6309,7045,4283,4572,960,7613,852,17667,157,17510,11759,3509,12693,4861,1648,607,48,627,560,0,65,2,70215,15500,26964,34839
01051,Elmore County,01, Alabama,0.842506673,0,0,0,81212,4736,62272,18005,758,894,128,2347,1446,231,696,159,513,2359,401,904,3139,29143,21480,7663,5207,10731,5731,7474,76788,422,250,172,34004,2851,895,4603,7532,9189,4108,3711,4424,5004,866,23273,69,23204,16935,2717,19120,5615,1745,436,11,166,70,71,25,0,76683,9462,14996,21295
01053,Escambia County,01, Alabama,0.770065623,1,3993,3993,37328,2122,23491,12173,1638,148,75,838,365,46,241,46,100,610,46,320,1594,13428,9237,4191,2148,4285,2536,4459,34498,268,122,146,16595,2268,173,1550,3137,3638,2419,2684,2830,5390,251,7787,99,7688,5822,3506,3266,1346,1025,363,15,82,48,0,29,5,34383,8268,12526,17133
01055,Etowah County,01, Alabama,0.805688288,4,7515,7437,102939,5793,84363,17074,1415,936,74,3880,2977,475,1615,431,1291,3673,549,1707,4290,38777,27882,10895,5996,12981,7724,12076,101599,462,197,265,47705,5185,1484,5740,8949,10608,5850,7630,1340,8438,1693,28646,167,28479,17976,4996,22023,9292,2223,539,68,246,178,8,50,10,101536,17524,29121,39751
01057,Fayette County,01, Alabama,0.846393443,0,0,0,16585,925,14397,2313,79,125,69,285,152,34,65,10,10,191,34,66,614,6947,5412,1535,1094,2178,1431,2244,16257,79,48,31,8470,628,176,844,1513,1779,1116,1695,328,2005,130,4812,27,4785,3406,1089,3094,1152,662,181,2,11,0,11,0,0,16251,3258,5288,7464
01059,Franklin County,01, Alabama,0.788570351,1,3022,2981,31542,2165,26766,1507,659,219,3,5333,2919,756,1906,750,1710,3046,758,1922,1350,11210,7910,3300,1746,3877,2105,3482,31287,366,182,184,14152,1522,484,1305,2939,3174,1662,2130,255,3996,483,6731,43,6688,4986,2116,3688,1388,1002,246,10,378,358,0,9,11,31129,6299,10267,14714
01061,Geneva County,01, Alabama,0.800166231,0,0,0,26491,1445,23396,2769,419,137,4,1027,406,0,117,0,105,757,52,169,1197,10479,7420,3059,1597,3461,2128,3293,26242,202,132,70,12768,581,37,1364,2539,2951,1500,2125,249,2893,480,7106,100,7006,4742,1665,4412,1786,1035,310,14,15,5,0,10,0,26177,6282,9459,11847
01063,Greene County,01, Alabama,0.601964183,3,8426,8363,8426,490,1643,6892,205,41,0,143,8,5,5,3,3,11,5,5,392,2955,2031,924,344,720,808,1083,8363,92,61,31,5075,370,292,279,537,570,606,963,63,1556,32,1367,2,1365,1007,247,992,250,365,37,0,0,0,0,0,0,8344,3225,4218,5609
01065,Hale County,01, Alabama,0.709702814,2,3418,3418,14887,971,5970,8780,29,39,0,130,86,8,22,0,14,137,8,25,861,5658,4044,1614,751,1873,1257,1777,14688,182,115,67,7777,563,220,621,1217,1628,992,1200,199,2309,223,3126,20,3106,2536,525,2037,356,762,152,24,0,0,0,0,0,14648,3809,5928,7473
01067,Henry County,01, Alabama,0.757836118,3,5807,5807,17124,933,12324,4802,70,36,26,448,185,29,121,29,115,260,40,132,537,6669,5522,1147,763,2388,1340,2178,16813,52,32,20,9096,522,71,628,1766,1838,1095,1342,311,1677,99,4893,80,4813,3062,1229,3143,1426,621,103,18,14,14,0,0,0,16770,2270,4812,6749
01069,Houston County,01, Alabama,0.779490818,5,17377,17059,104352,6340,74293,29103,1177,1325,48,3437,2367,297,1161,246,884,3306,452,1458,4866,39253,25741,13512,6816,13774,7659,11004,103414,487,215,272,47187,7299,2403,6672,10957,10267,5346,6011,938,10143,1042,28068,433,27635,17995,4416,22007,8744,1940,433,32,243,162,19,50,12,103287,18913,31006,41452
01071,Jackson County,01, Alabama,0.822316263,0,0,0,52094,2793,48828,2039,1676,314,90,1505,899,201,580,150,309,1089,209,621,1928,20626,15282,5344,2960,6888,4548,6230,51434,446,242,204,25106,1984,354,2262,5235,5121,3741,4267,660,5831,852,13943,107,13836,9169,1849,11290,4224,978,281,31,60,42,0,18,0,51548,10418,17979,23625
01073,Jefferson County,01, Alabama,0.788636672,22,74290,70689,659892,42537,351513,287867,4795,13343,515,25048,26610,6103,16904,5679,13935,30971,6499,18083,33784,260924,163858,97066,53352,91066,52146,64360,643884,3921,1222,2699,307372,76871,42510,47120,74298,65281,33288,40937,16008,50017,10781,200126,703,199423,141216,24761,167531,52482,14797,2036,251,3491,2112,519,744,116,645154,109707,170623,228848
01075,Lamar County,01, Alabama,0.839635231,0,0,0,13933,699,12256,1599,28,0,0,218,86,7,65,7,60,99,7,77,375,5974,4567,1407,848,2044,1203,1879,13745,100,83,17,7390,941,30,712,1150,1669,1198,1245,188,2007,151,3816,55,3761,2552,896,2402,902,597,256,0,0,0,0,0,0,13747,2916,4740,6472
01077,Lauderdale County,01, Alabama,0.787379467,4,9906,8664,92585,4736,81937,10118,847,797,69,2412,1905,675,1225,625,895,2337,700,1288,3529,38514,26376,12138,7524,12129,7055,11806,90376,475,275,200,44792,7564,2357,6790,10478,9062,5382,6802,2209,9788,2099,26627,179,26448,19331,5674,18607,5957,2889,863,26,310,253,16,20,21,90283,13703,23292,33645
01079,Lawrence County,01, Alabama,0.805446194,0,0,0,33171,1855,27384,3887,3230,129,24,707,324,7,111,7,111,341,7,111,1191,12811,10133,2678,2088,4280,2745,3698,32939,195,62,133,15373,852,128,1399,3246,3239,2170,2757,232,4219,885,7707,117,7590,5427,2713,3630,1490,1477,495,12,26,26,0,0,0,32879,5508,8893,12204
01081,Lee County,01, Alabama,0.773514233,5,19477,14844,159287,9431,114626,38223,1176,7219,100,5865,8685,3537,6218,3305,5409,11179,3760,6772,7189,59373,35821,23552,18365,20557,9179,11272,153390,1851,459,1392,68081,17277,8399,13462,19596,14368,6443,5504,5897,8726,2728,47919,215,47704,34185,5038,40638,12250,4835,728,20,1130,150,60,899,21,153342,32815,46638,60220
01083,Limestone County,01, Alabama,0.803113553,3,11983,11689,93052,5223,76728,13240,1314,1668,212,5479,3439,484,1937,390,1267,4425,637,2228,2970,32126,25064,7062,5141,12178,6369,8438,90180,588,258,330,36069,2987,1297,4687,8378,10802,3844,4415,2872,5803,1524,24799,187,24612,16631,2802,20037,6981,2286,698,5,272,191,50,26,5,90098,12384,20133,27973
01085,Lowndes County,01, Alabama,0.624361158,4,10236,10139,10236,634,2619,7654,73,0,0,70,32,0,8,0,8,109,0,8,813,4180,3079,1101,523,1475,946,1236,10139,71,35,36,5187,314,10,402,669,1192,919,998,97,1938,150,2092,26,2066,1509,544,1151,401,371,92,12,0,0,0,0,0,10099,2820,4456,5542
01087,Macon County,01, Alabama,0.769175627,2,4951,2802,19054,936,3088,15762,112,55,0,328,201,40,128,40,100,321,40,164,1015,7637,5021,2616,1270,2297,1591,2479,16753,99,75,24,10274,1553,256,965,1402,2125,984,2161,2301,2680,644,4313,50,4263,3195,786,2614,795,1062,232,10,19,19,0,0,0,16688,4302,6681,8453
01089,Madison County,01, Alabama,0.794275381,14,53040,48733,357560,20902,253465,91670,6527,12515,958,17294,19571,3831,9632,3153,7319,26470,4903,11931,14048,145256,97650,47606,30596,52698,28453,33509,348718,1939,671,1268,159299,35166,16210,28038,42959,40062,18256,15941,8842,18861,4152,122243,373,121870,91571,11463,106198,27460,7278,1457,155,2058,1313,284,435,26,348232,45960,72580,98310
01091,Marengo County,01, Alabama,0.766381766,1,1613,1613,19538,969,8901,10529,105,0,1,115,87,31,75,31,75,103,41,85,727,7768,5533,2235,1052,2994,1712,2010,19302,57,30,27,10325,1049,149,868,1523,2409,1461,1507,236,3059,497,4212,84,4128,2766,1057,2521,1034,566,211,34,13,0,11,2,0,19249,4201,7030,9424
01093,Marion County,01, Alabama,0.813734336,0,0,0,29965,1539,28373,1410,298,124,43,752,376,85,227,85,132,416,85,227,1175,12212,9203,3009,1778,4020,2438,3976,29461,266,149,117,14867,1784,171,1493,2830,3263,2062,2564,504,3734,513,7965,73,7892,5161,1991,5163,2301,786,221,28,86,0,18,0,68,29463,5144,9149,13733
01095,Marshall County,01, Alabama,0.781697939,3,18893,18621,95145,6536,89526,2807,1415,748,65,12961,6245,786,3311,744,2906,7051,1085,3680,3940,34896,24555,10341,6103,12408,6627,9758,94115,912,279,633,40630,4014,660,5875,9181,9858,4718,5264,1030,7869,994,26033,41,25992,19612,4638,20262,5770,1550,302,42,1326,1233,66,6,21,93847,20354,31658,41608
01097,Mobile County,01, Alabama,0.765266343,25,74024,73375,414659,26969,250180,150822,6117,9608,324,11973,13598,3180,7050,3003,5208,17030,3773,8411,20645,155831,101120,54711,30929,53771,30866,40265,405711,3108,1466,1642,183164,33650,16422,26534,41763,39854,22132,25548,8948,37406,4790,113635,1097,112538,81276,19596,86099,26616,9708,1673,1294,1654,603,181,658,212,405635,78208,122075,160804
01099,Monroe County,01, Alabama,0.725886048,4,7226,7141,21512,1266,12095,9158,542,120,0,302,136,0,24,0,6,150,0,24,927,8149,4962,3187,1025,2828,1768,2528,21263,51,11,40,11398,751,134,794,1647,2316,1560,1832,249,4311,336,3502,109,3393,2206,534,2472,991,524,138,0,18,1,0,17,0,21226,6561,8903,11215
01101,Montgomery County,01, Alabama,0.779312907,13,43177,42190,226941,15315,86109,132966,1378,7581,229,7749,10619,3475,6882,3138,5816,13076,3940,7558,14142,89835,52626,37209,19132,31980,17371,21352,220029,1651,520,1131,104355,24355,8771,17714,25756,22629,12530,11206,6912,17083,3025,69727,232,69495,54019,9236,58354,14283,3277,457,52,1407,673,139,502,93,219767,45479,68999,89134
01103,Morgan County,01, Alabama,0.779499085,5,19011,18393,119122,7059,98193,15987,2067,1050,48,9691,5047,898,2858,762,2435,6344,1161,3378,4866,45646,32928,12718,7000,16888,9158,12600,117257,1098,314,784,51951,7932,2715,6577,10909,14147,6988,7025,1865,10267,1841,33538,324,33214,21829,4491,27063,10356,2608,550,161,995,833,70,64,28,117109,17920,30256,42034
01105,Perry County,01, Alabama,0.533677349,3,9486,8683,9486,514,2838,6588,6,21,0,89,143,13,13,13,13,163,13,26,503,3079,2240,839,210,791,856,1222,8683,81,70,11,4751,442,156,139,538,827,665,910,803,1558,72,1449,25,1424,983,401,785,305,360,91,0,12,12,0,0,0,8661,3616,4839,5880
01107,Pickens County,01, Alabama,0.69884062,4,18063,16520,20298,1034,11610,8531,96,36,8,932,663,171,368,171,360,828,171,417,850,7530,5569,1961,1020,2403,1684,2423,18755,92,30,62,9557,976,132,673,1713,2182,1295,1667,1543,2549,212,4769,43,4726,3610,1456,2417,805,939,239,2,44,44,0,0,0,18862,4430,6925,8732
01109,Pike County,01, Alabama,0.692707874,5,20262,18526,33403,1861,19693,13247,400,785,71,263,1435,892,1229,838,1175,1572,943,1328,1314,11547,6845,4702,2758,3735,2183,2871,31491,179,59,120,16077,3636,624,1758,3352,3056,1768,1613,1912,4175,336,7036,199,6837,4165,1140,5111,2389,838,179,8,274,12,67,195,0,31488,8374,11203,15313
01111,Randolph County,01, Alabama,0.799718993,1,2212,1973,22574,1290,17747,4856,57,76,77,665,360,0,208,0,198,440,0,229,906,8643,6345,2298,1241,2707,1905,2790,22085,253,122,131,12056,687,197,1280,1852,2055,1278,2178,489,2382,131,6130,174,5956,4595,1286,3522,1140,587,129,14,52,36,16,0,0,22073,3912,6285,9319
01113,Russell County,01, Alabama,0.762170669,4,11507,11298,58213,4258,31235,26453,1026,819,110,3120,1481,170,724,140,514,2556,333,1094,3245,22740,13601,9139,5245,8228,4218,5049,57639,713,170,543,27426,4687,890,4448,6939,5208,2522,3623,574,6106,1499,15135,76,15059,11084,3503,9821,3094,2178,504,53,389,275,33,81,0,57108,11491,18134,24801
01115,St. Clair County,01, Alabama,0.795917597,2,11169,10615,87306,5241,77258,8602,712,920,24,2089,1499,260,946,194,744,1830,289,1039,2900,32172,25397,6775,5326,11809,6616,8421,85106,277,200,77,36628,2652,619,4518,9003,9853,5119,3679,2200,6384,1293,24495,313,24182,17094,3318,19335,6303,1863,516,107,153,132,0,21,0,85339,11268,18916,28006
01117,Shelby County,01, Alabama,0.831221582,3,5684,4424,211261,12500,173259,27228,1366,5423,189,12125,11160,2252,5973,2107,4902,13116,2514,6387,5543,78328,62406,15922,13101,32056,14762,18409,208272,875,485,390,86077,10543,6573,12511,21094,26186,11522,7015,2989,8350,2121,67857,215,67642,50735,5793,59074,14894,5277,731,336,1214,761,53,373,27,207934,17557,30425,44234
01119,Sumter County,01, Alabama,0.598918244,3,11880,10983,12985,702,3230,9369,18,338,0,13,268,189,252,189,252,336,189,256,608,5047,3278,1769,920,1507,1202,1418,12088,65,16,49,6858,1144,392,714,1193,1349,794,997,897,2002,105,2940,20,2920,1914,506,1872,732,802,204,0,106,2,0,37,67,12102,3792,5334,7677
01121,Talladega County,01, Alabama,0.793544194,2,5569,5569,80565,4301,52975,26786,724,641,75,1818,1391,324,685,283,543,1968,443,840,4200,31407,22392,9015,5114,10725,6813,8755,77157,407,272,135,37669,4145,859,4413,7814,7846,5241,6093,3408,8288,1059,22060,135,21925,16534,4460,15403,4349,2693,659,73,142,93,14,19,16,77204,15401,25313,34553
01123,Tallapoosa County,01, Alabama,0.826107288,0,0,0,40636,2211,28649,11293,278,269,0,954,597,47,357,47,223,784,47,384,1965,16448,11982,4466,2179,5247,3685,5337,40020,496,102,394,22310,2260,746,2165,3630,4045,2718,3890,616,4438,471,11539,30,11509,8275,2103,8138,2820,1367,228,0,75,74,0,1,0,40078,8131,12397,17530
01125,Tuscaloosa County,01, Alabama,0.792891863,10,30200,28921,206213,12348,134910,66214,1362,3852,128,7437,7553,2602,5186,2432,4129,9318,2935,5729,9035,72379,45708,26671,18062,24476,14098,15743,195942,1183,512,671,90576,26059,14413,14483,22532,17815,8413,9136,10271,13006,2738,56635,150,56485,46219,12855,40278,9031,5017,779,72,962,463,65,372,62,195629,34058,51673,70697
01127,Walker County,01, Alabama,0.807382639,1,3189,3165,64493,3986,59673,4490,736,399,30,1545,903,125,444,107,348,1182,142,473,2539,25036,19045,5991,3913,8248,5104,7771,63588,492,333,159,31057,2115,320,3489,5907,6930,3937,4773,905,7024,839,17173,150,17023,12747,4159,10400,2957,2436,616,242,213,128,0,76,9,63468,12525,19849,27048
01129,Washington County,01, Alabama,0.688090737,3,10977,10835,16643,616,11263,4179,1377,79,0,182,175,21,74,21,61,218,21,92,614,6007,5034,973,747,1878,1355,2027,16501,186,56,130,8509,56,1,573,985,1637,1219,1593,142,1967,473,3567,62,3505,2478,1059,1834,652,672,331,1,13,13,0,0,0,16382,3446,5364,7417
01131,Wilcox County,01, Alabama,0.660300136,4,10809,10553,10809,666,3219,7533,49,267,0,70,58,28,30,28,30,102,28,42,457,3804,2471,1333,350,1335,882,1237,10553,36,7,29,5728,336,13,317,633,1324,677,853,256,1685,187,1932,59,1873,1183,394,1092,515,462,110,0,28,0,0,0,28,10476,3254,4667,5842
01133,Winston County,01, Alabama,0.760876897,1,2196,2196,23875,1246,23491,263,406,31,9,734,259,13,118,13,118,339,13,135,913,9403,7426,1977,1335,2983,2023,3062,23500,100,35,65,13649,895,253,968,1917,2652,1717,2149,375,3003,452,5948,102,5846,4110,1761,3283,1290,804,263,87,89,88,0,1,0,23509,3817,7612,10985
02013,Aleutians East Borough,02, Alaska,0.637735849,1,3425,2236,3425,108,810,174,1552,948,36,346,1118,414,742,385,582,1267,459,814,138,860,532,328,156,332,200,172,2236,22,5,17,1106,195,42,101,180,185,133,261,1189,244,37,579,0,579,314,32,426,196,108,67,0,28,10,0,18,0,3415,525,819,1197
02016,Aleutians West Census Area,02, Alaska,0.629120879,1,4781,3663,5750,240,1939,273,820,2500,208,798,2280,703,1347,670,1034,2633,830,1575,137,1176,331,845,235,558,255,128,4380,125,5,120,1967,1212,327,322,407,234,112,101,1370,231,51,894,4,890,738,154,625,124,134,20,1,103,9,4,76,14,5522,472,973,1535
02020,Anchorage Municipality,02, Alaska,0.767062345,17,88174,84606,296112,21766,212023,23201,37936,36141,9882,26847,31668,6025,14529,4860,8544,40644,7861,18201,12073,106524,64827,41697,28208,40212,20525,17579,288674,4813,1660,3153,116493,40559,13334,22663,34884,26436,12442,10099,7438,8824,2906,94794,308,94486,76921,11050,81306,16179,3801,377,230,3008,828,273,1734,173,288946,26498,43693,61216
02050,Bethel Census Area,02, Alaska,0.627308338,1,6424,5991,18040,1863,2591,227,15534,239,45,429,367,51,171,48,99,386,53,173,1000,4558,2784,1774,950,1791,963,854,17189,1613,1014,599,6027,537,218,716,1065,1140,591,1046,851,1123,139,3296,2,3294,2898,1410,1703,331,122,17,40,341,0,1,26,314,17542,4871,7712,9730
